Date,Price,Open,High,Low,Change %
29-Dec-13,1.2671,1.2679,1.2698,1.2611,-0.14%
05-Jan-14,1.2639,1.2671,1.2743,1.2631,-0.25%
12-Jan-14,1.2761,1.2631,1.2764,1.2627,0.97%
19-Jan-14,1.2786,1.2747,1.2831,1.2741,0.20%
26-Jan-14,1.2767,1.2789,1.2802,1.2718,-0.15%
02-Feb-14,1.2682,1.2765,1.278,1.2658,-0.67%
09-Feb-14,1.2593,1.2676,1.2712,1.2582,-0.70%
16-Feb-14,1.267,1.259,1.2697,1.258,0.61%
23-Feb-14,1.2677,1.267,1.269,1.2611,0.06%
02-Mar-14,1.2686,1.2678,1.2726,1.2624,0.07%
09-Mar-14,1.2656,1.2675,1.2703,1.2631,-0.24%
16-Mar-14,1.2744,1.2649,1.2798,1.2631,0.70%
23-Mar-14,1.2584,1.2736,1.2754,1.2582,-1.26%
30-Mar-14,1.2588,1.2583,1.265,1.2564,0.03%
06-Apr-14,1.2486,1.2595,1.2623,1.245,-0.81%
13-Apr-14,1.2527,1.2489,1.255,1.2472,0.33%
20-Apr-14,1.2566,1.2518,1.2596,1.2506,0.31%
27-Apr-14,1.2531,1.2559,1.2582,1.2515,-0.28%
04-May-14,1.2487,1.2522,1.2522,1.2451,-0.35%
11-May-14,1.2511,1.249,1.2546,1.2481,0.19%
18-May-14,1.2532,1.251,1.2545,1.249,0.17%
25-May-14,1.2539,1.2528,1.2573,1.2522,0.06%
01-Jun-14,1.2516,1.2536,1.2591,1.2496,-0.18%
08-Jun-14,1.2509,1.2517,1.2524,1.2471,-0.06%
15-Jun-14,1.2489,1.2501,1.2546,1.2463,-0.16%
22-Jun-14,1.2497,1.2492,1.2518,1.2475,0.06%
29-Jun-14,1.2464,1.2486,1.2503,1.2449,-0.26%
06-Jul-14,1.2409,1.2458,1.2477,1.2392,-0.44%
13-Jul-14,1.2411,1.2406,1.2449,1.2388,0.02%
20-Jul-14,1.2421,1.2409,1.2426,1.2364,0.08%
27-Jul-14,1.2469,1.2417,1.2501,1.2404,0.39%
03-Aug-14,1.2521,1.247,1.2553,1.2438,0.42%
10-Aug-14,1.2452,1.2518,1.2521,1.2432,-0.55%
17-Aug-14,1.249,1.2449,1.253,1.2432,0.31%
24-Aug-14,1.2488,1.2498,1.2523,1.2455,-0.02%
31-Aug-14,1.2535,1.2487,1.2571,1.2485,0.38%
07-Sep-14,1.2631,1.2537,1.2669,1.2525,0.77%
14-Sep-14,1.2671,1.2637,1.2701,1.259,0.32%
21-Sep-14,1.2747,1.2663,1.2756,1.2641,0.60%
28-Sep-14,1.2824,1.274,1.2828,1.2698,0.60%
05-Oct-14,1.2755,1.2822,1.2822,1.2675,-0.54%
12-Oct-14,1.2753,1.2758,1.2789,1.2687,-0.02%
19-Oct-14,1.2754,1.2752,1.2775,1.2677,0.01%
26-Oct-14,1.2865,1.2756,1.2878,1.27,0.87%
02-Nov-14,1.2888,1.2849,1.2978,1.2849,0.18%
09-Nov-14,1.2973,1.2896,1.3018,1.2868,0.66%
16-Nov-14,1.2998,1.2974,1.3099,1.2935,0.19%
23-Nov-14,1.3043,1.2997,1.305,1.2957,0.35%
30-Nov-14,1.3226,1.3029,1.3239,1.3018,1.40%
07-Dec-14,1.314,1.3227,1.3245,1.3079,-0.65%
14-Dec-14,1.3149,1.3129,1.3183,1.3003,0.07%
21-Dec-14,1.3243,1.3144,1.3258,1.3144,0.71%
28-Dec-14,1.3313,1.3251,1.3316,1.3199,0.53%
04-Jan-15,1.3335,1.3308,1.3421,1.3308,0.17%
11-Jan-15,1.326,1.3338,1.3375,1.3217,-0.56%
18-Jan-15,1.3448,1.3261,1.3467,1.325,1.42%
25-Jan-15,1.3535,1.3435,1.3574,1.3384,0.65%
01-Feb-15,1.353,1.3543,1.3557,1.3426,-0.04%
08-Feb-15,1.3552,1.354,1.3643,1.3515,0.16%
15-Feb-15,1.3604,1.3545,1.3622,1.3536,0.38%
22-Feb-15,1.3627,1.3598,1.3634,1.348,0.17%
01-Mar-15,1.3776,1.363,1.3826,1.361,1.09%
08-Mar-15,1.3926,1.3765,1.3942,1.374,1.09%
15-Mar-15,1.3788,1.3921,1.3939,1.3725,-0.99%
22-Mar-15,1.3695,1.3777,1.3808,1.3608,-0.67%
29-Mar-15,1.3501,1.37,1.3775,1.3459,-1.42%
05-Apr-15,1.3681,1.3499,1.3684,1.3475,1.33%
12-Apr-15,1.3458,1.368,1.3754,1.3413,-1.63%
19-Apr-15,1.332,1.3469,1.354,1.331,-1.03%
26-Apr-15,1.33,1.332,1.3341,1.3148,-0.15%
03-May-15,1.3287,1.3308,1.3386,1.322,-0.10%
10-May-15,1.3207,1.328,1.3405,1.3163,-0.60%
17-May-15,1.3363,1.3199,1.3402,1.3199,1.18%
24-May-15,1.3477,1.3369,1.3544,1.3362,0.85%
31-May-15,1.3579,1.3469,1.3599,1.3402,0.76%
07-Jun-15,1.3438,1.3579,1.3632,1.34,-1.04%
14-Jun-15,1.3347,1.3437,1.35,1.3284,-0.68%
21-Jun-15,1.3498,1.335,1.35,1.3294,1.13%
28-Jun-15,1.3458,1.3528,1.357,1.344,-0.30%
05-Jul-15,1.351,1.3454,1.3586,1.3454,0.39%
12-Jul-15,1.3677,1.3509,1.3689,1.3495,1.24%
19-Jul-15,1.3718,1.3676,1.3763,1.3611,0.30%
26-Jul-15,1.3721,1.372,1.378,1.3621,0.02%
02-Aug-15,1.3848,1.3714,1.3901,1.3705,0.93%
09-Aug-15,1.4067,1.384,1.4169,1.3794,1.58%
16-Aug-15,1.4083,1.4065,1.4112,1.3959,0.11%
23-Aug-15,1.4089,1.4079,1.4167,1.3939,0.04%
30-Aug-15,1.4245,1.4092,1.425,1.4051,1.11%
06-Sep-15,1.4123,1.424,1.4299,1.4072,-0.86%
13-Sep-15,1.3998,1.4125,1.4132,1.3881,-0.89%
20-Sep-15,1.4253,1.3998,1.4302,1.3996,1.82%
27-Sep-15,1.4326,1.4253,1.4366,1.4207,0.51%
04-Oct-15,1.3956,1.432,1.4333,1.3926,-2.58%
11-Oct-15,1.3838,1.3947,1.4044,1.3726,-0.85%
18-Oct-15,1.3979,1.384,1.3985,1.3813,1.02%
25-Oct-15,1.4009,1.3983,1.4076,1.3903,0.21%
01-Nov-15,1.4212,1.4014,1.422,1.3928,1.45%
08-Nov-15,1.4241,1.421,1.4263,1.4151,0.20%
15-Nov-15,1.413,1.4243,1.427,1.4099,-0.78%
22-Nov-15,1.4136,1.4127,1.4199,1.4019,0.04%
29-Nov-15,1.3976,1.414,1.416,1.3921,-1.13%
06-Dec-15,1.413,1.3976,1.4149,1.3974,1.10%
13-Dec-15,1.4128,1.4138,1.4225,1.4027,-0.01%
20-Dec-15,1.405,1.4135,1.4141,1.4031,-0.55%
27-Dec-15,1.418,1.4053,1.4206,1.4039,0.93%
03-Jan-16,1.4427,1.4178,1.4431,1.4151,1.74%
10-Jan-16,1.4405,1.4429,1.4447,1.4308,-0.15%
17-Jan-16,1.4299,1.4404,1.4414,1.4251,-0.74%
24-Jan-16,1.4242,1.4298,1.4331,1.4199,-0.40%
31-Jan-16,1.407,1.4252,1.434,1.3937,-1.21%
07-Feb-16,1.398,1.4063,1.4105,1.3858,-0.64%
14-Feb-16,1.4053,1.3973,1.4114,1.3959,0.52%
21-Feb-16,1.4072,1.4055,1.4114,1.3982,0.14%
28-Feb-16,1.3748,1.4079,1.4119,1.3732,-2.30%
06-Mar-16,1.3719,1.3748,1.3887,1.3699,-0.21%
13-Mar-16,1.3585,1.3721,1.3855,1.348,-0.98%
20-Mar-16,1.3722,1.3576,1.3738,1.3565,1.01%
27-Mar-16,1.3508,1.3716,1.3743,1.3415,-1.56%
03-Apr-16,1.3493,1.3498,1.3594,1.3451,-0.11%
10-Apr-16,1.3577,1.3506,1.3673,1.3421,0.62%
17-Apr-16,1.3546,1.3583,1.3626,1.3351,-0.23%
24-Apr-16,1.3442,1.3553,1.3567,1.3404,-0.77%
01-May-16,1.3613,1.3441,1.3628,1.339,1.27%
08-May-16,1.3724,1.3613,1.3764,1.36,0.82%
15-May-16,1.3816,1.3737,1.3833,1.3656,0.67%
22-May-16,1.3797,1.3812,1.3843,1.3718,-0.14%
29-May-16,1.357,1.3799,1.3841,1.356,-1.65%
05-Jun-16,1.3602,1.3567,1.3627,1.3444,0.24%
12-Jun-16,1.3492,1.3604,1.3626,1.346,-0.81%
19-Jun-16,1.3522,1.3497,1.3696,1.332,0.22%
26-Jun-16,1.3456,1.3496,1.3652,1.341,-0.49%
03-Jul-16,1.3453,1.3453,1.3572,1.3422,-0.02%
10-Jul-16,1.3478,1.3455,1.353,1.3406,0.19%
17-Jul-16,1.3586,1.348,1.3607,1.3455,0.80%
24-Jul-16,1.3397,1.3585,1.3641,1.3391,-1.39%
31-Jul-16,1.3469,1.3411,1.3487,1.3358,0.54%
07-Aug-16,1.3455,1.3468,1.3496,1.3371,-0.10%
14-Aug-16,1.3469,1.3452,1.3481,1.3344,0.10%
21-Aug-16,1.3591,1.3463,1.3601,1.3463,0.91%
28-Aug-16,1.3601,1.3594,1.3664,1.3512,0.07%
04-Sep-16,1.3591,1.3597,1.361,1.3434,-0.07%
11-Sep-16,1.3681,1.3593,1.37,1.3547,0.66%
18-Sep-16,1.3592,1.3682,1.3692,1.3507,-0.65%
25-Sep-16,1.3628,1.3583,1.3671,1.3579,0.26%
02-Oct-16,1.3733,1.3632,1.3761,1.3622,0.77%
09-Oct-16,1.3903,1.3738,1.3919,1.3713,1.24%
16-Oct-16,1.394,1.3904,1.3962,1.3836,0.27%
23-Oct-16,1.3921,1.3939,1.3965,1.3874,-0.14%
30-Oct-16,1.3834,1.3925,1.3945,1.3817,-0.62%
06-Nov-16,1.4126,1.3841,1.4162,1.3829,2.11%
13-Nov-16,1.4258,1.4118,1.4291,1.4094,0.93%
20-Nov-16,1.4292,1.4264,1.437,1.4201,0.24%
27-Nov-16,1.4195,1.4289,1.4359,1.4184,-0.68%
04-Dec-16,1.4306,1.4199,1.4332,1.415,0.78%
11-Dec-16,1.4454,1.4316,1.4493,1.4221,1.03%
18-Dec-16,1.446,1.4458,1.4522,1.441,0.04%
25-Dec-16,1.4483,1.4448,1.4542,1.4431,0.16%
01-Jan-17,1.4396,1.448,1.4546,1.4266,-0.60%
08-Jan-17,1.4269,1.4388,1.4438,1.4213,-0.88%
15-Jan-17,1.4254,1.4271,1.4315,1.4149,-0.11%
22-Jan-17,1.4318,1.4251,1.433,1.4112,0.45%
29-Jan-17,1.4075,1.4319,1.432,1.4055,-1.70%
05-Feb-17,1.422,1.4075,1.4233,1.4053,1.03%
12-Feb-17,1.4187,1.4207,1.4267,1.4146,-0.23%
19-Feb-17,1.405,1.4191,1.4236,1.4022,-0.97%
26-Feb-17,1.41,1.4049,1.4169,1.3969,0.36%
05-Mar-17,1.4122,1.4105,1.4224,1.4083,0.16%
12-Mar-17,1.4021,1.412,1.4163,1.3999,-0.72%
19-Mar-17,1.3989,1.402,1.403,1.3951,-0.23%
26-Mar-17,1.397,1.3994,1.4,1.3905,-0.14%
02-Apr-17,1.4048,1.3981,1.4066,1.395,0.56%
09-Apr-17,1.3978,1.4051,1.4086,1.393,-0.50%
16-Apr-17,1.3969,1.3974,1.4003,1.3932,-0.06%
23-Apr-17,1.397,1.3971,1.3994,1.3907,0.01%
30-Apr-17,1.4048,1.397,1.4065,1.3918,0.56%
07-May-17,1.404,1.4049,1.4131,1.4024,-0.06%
14-May-17,1.385,1.4045,1.4048,1.3837,-1.35%
21-May-17,1.3818,1.3864,1.392,1.3804,-0.23%
28-May-17,1.3807,1.3817,1.3887,1.3801,-0.08%
04-Jun-17,1.3844,1.3803,1.3855,1.378,0.27%
11-Jun-17,1.3835,1.3849,1.3874,1.3709,-0.07%
18-Jun-17,1.3875,1.383,1.3917,1.3805,0.29%
25-Jun-17,1.3764,1.3869,1.3895,1.3755,-0.80%
02-Jul-17,1.3821,1.377,1.3845,1.3755,0.41%
09-Jul-17,1.3715,1.3822,1.3866,1.3692,-0.77%
16-Jul-17,1.3623,1.3711,1.3722,1.3611,-0.67%
23-Jul-17,1.3566,1.3637,1.3644,1.3538,-0.42%
30-Jul-17,1.3608,1.3572,1.3621,1.3539,0.31%
06-Aug-17,1.3606,1.3605,1.3657,1.3585,-0.01%
13-Aug-17,1.3631,1.3606,1.3691,1.3584,0.18%
20-Aug-17,1.3558,1.3635,1.3642,1.3552,-0.54%
27-Aug-17,1.3576,1.3551,1.3613,1.3503,0.13%
03-Sep-17,1.3421,1.3576,1.3586,1.3344,-1.14%
10-Sep-17,1.3453,1.3413,1.3539,1.3408,0.24%
17-Sep-17,1.3458,1.3455,1.3537,1.3403,0.04%
24-Sep-17,1.3575,1.3457,1.3648,1.3456,0.87%
01-Oct-17,1.3646,1.3575,1.3693,1.3572,0.52%
08-Oct-17,1.3493,1.3656,1.3658,1.3487,-1.12%
15-Oct-17,1.3613,1.3491,1.3618,1.3491,0.89%
22-Oct-17,1.3655,1.3616,1.3716,1.3586,0.31%
29-Oct-17,1.365,1.3658,1.367,1.3568,-0.04%
05-Nov-17,1.3603,1.3647,1.3662,1.358,-0.34%
12-Nov-17,1.3554,1.3599,1.3631,1.353,-0.36%
19-Nov-17,1.3454,1.3554,1.3581,1.3444,-0.74%
26-Nov-17,1.3468,1.3458,1.351,1.3418,0.10%
03-Dec-17,1.3522,1.3467,1.354,1.3451,0.40%
10-Dec-17,1.3484,1.3526,1.354,1.344,-0.28%
17-Dec-17,1.3439,1.3486,1.35,1.3431,-0.33%
24-Dec-17,1.3375,1.3437,1.3446,1.3352,-0.48%
31-Dec-17,1.3267,1.3378,1.338,1.3256,-0.81%
07-Jan-18,1.3254,1.3273,1.3372,1.325,-0.10%
14-Jan-18,1.321,1.3229,1.3276,1.3171,-0.33%
21-Jan-18,1.3077,1.3201,1.3225,1.3007,-1.01%
28-Jan-18,1.3195,1.3069,1.32,1.3058,0.90%
04-Feb-18,1.3296,1.3194,1.3341,1.3157,0.77%
11-Feb-18,1.312,1.3305,1.3305,1.3054,-1.32%
18-Feb-18,1.3197,1.312,1.3258,1.3099,0.59%
25-Feb-18,1.3196,1.3196,1.3287,1.3142,-0.01%
04-Mar-18,1.3168,1.3196,1.3217,1.3135,-0.21%
11-Mar-18,1.3175,1.316,1.3184,1.3079,0.05%
18-Mar-18,1.3155,1.3175,1.3196,1.3109,-0.15%
25-Mar-18,1.311,1.3143,1.3154,1.3052,-0.34%
01-Apr-18,1.3156,1.311,1.3199,1.3087,0.35%
08-Apr-18,1.3121,1.3159,1.3173,1.3075,-0.27%
15-Apr-18,1.3163,1.312,1.3175,1.3079,0.32%
22-Apr-18,1.3237,1.3163,1.3298,1.3157,0.56%
29-Apr-18,1.3338,1.324,1.3375,1.3226,0.76%
06-May-18,1.3362,1.3336,1.3492,1.3314,0.18%
13-May-18,1.3429,1.3357,1.346,1.3308,0.50%
20-May-18,1.3417,1.344,1.3474,1.3357,-0.09%
27-May-18,1.3384,1.3429,1.3485,1.3356,-0.25%
03-Jun-18,1.3353,1.3384,1.3395,1.3303,-0.23%
10-Jun-18,1.3509,1.3353,1.352,1.3328,1.17%
17-Jun-18,1.3582,1.3509,1.3643,1.3493,0.54%
24-Jun-18,1.3628,1.3582,1.3707,1.3577,0.34%
01-Jul-18,1.3574,1.363,1.3747,1.3566,-0.40%
08-Jul-18,1.3657,1.3582,1.3692,1.3525,0.61%
15-Jul-18,1.3624,1.3654,1.3747,1.3582,-0.24%
22-Jul-18,1.3619,1.3625,1.3682,1.3572,-0.04%
29-Jul-18,1.3665,1.3618,1.3715,1.3598,0.34%
05-Aug-18,1.3734,1.3665,1.3738,1.3612,0.50%
12-Aug-18,1.371,1.373,1.382,1.3705,-0.17%
19-Aug-18,1.365,1.3716,1.3746,1.364,-0.44%
26-Aug-18,1.3722,1.3647,1.3733,1.3605,0.53%
02-Sep-18,1.3788,1.372,1.3816,1.3691,0.48%
09-Sep-18,1.3742,1.3785,1.3816,1.3672,-0.33%
16-Sep-18,1.3642,1.3741,1.3757,1.361,-0.73%
23-Sep-18,1.3665,1.3646,1.3691,1.3619,0.17%
30-Sep-18,1.3828,1.3665,1.3836,1.3662,1.19%
07-Oct-18,1.3779,1.3832,1.3877,1.3733,-0.35%
14-Oct-18,1.3777,1.378,1.3822,1.3725,-0.01%
21-Oct-18,1.38,1.3776,1.3853,1.376,0.17%
28-Oct-18,1.3749,1.3799,1.3874,1.3699,-0.37%
04-Nov-18,1.3792,1.3749,1.3799,1.3681,0.31%
11-Nov-18,1.3723,1.3788,1.3857,1.3716,-0.50%
18-Nov-18,1.3753,1.3721,1.3768,1.37,0.22%
25-Nov-18,1.3721,1.3749,1.38,1.3689,-0.23%
02-Dec-18,1.3701,1.3708,1.3727,1.3626,-0.15%
09-Dec-18,1.3769,1.37,1.3778,1.3688,0.50%
16-Dec-18,1.3747,1.3766,1.3775,1.3665,-0.16%
23-Dec-18,1.3665,1.374,1.3751,1.3652,-0.60%
30-Dec-18,1.3593,1.3664,1.3679,1.3582,-0.53%
06-Jan-19,1.3532,1.36,1.36,1.3498,-0.45%
13-Jan-19,1.3586,1.3526,1.3588,1.351,0.40%
20-Jan-19,1.3538,1.3582,1.3618,1.3522,-0.35%
27-Jan-19,1.35,1.3535,1.3547,1.344,-0.28%
03-Feb-19,1.3565,1.3496,1.3587,1.3493,0.48%
10-Feb-19,1.3567,1.3564,1.3617,1.3535,0.01%
17-Feb-19,1.3512,1.3567,1.358,1.3494,-0.41%
24-Feb-19,1.3552,1.3512,1.3558,1.3469,0.30%
03-Mar-19,1.3591,1.3552,1.3617,1.3524,0.29%
